开始 sweep 相场物理参数（并行=1）
Sweep: phy_weight × phy_alpha × phy_beta
启动任务: phy_weight=0.001 phy_alpha=0.5 phy_beta=0.5
Experiment name: VAEv12_MDN_lat=16_K=16_beta=0.001_warm=0.1_gamma=0.001_warm=0.1_phy_weight=0.001_phy_alpha=0.5_phy_beta=0.5scale=0.5_time=20260123_095021
[Epoch 0141] beta=0.001 gamma=0.001 | Train total=0.0005 | Val total=-0.0021 | Val ctr_nll=-5.3600 | Val ctr_mse=0.038585 | Val conf=0.473
[Epoch 0142] beta=0.001 gamma=0.001 | Train total=0.0003 | Val total=-0.0018 | Val ctr_nll=-5.3694 | Val ctr_mse=0.039095 | Val conf=0.457
[Epoch 0143] beta=0.001 gamma=0.001 | Train total=-0.0001 | Val total=-0.0024 | Val ctr_nll=-5.6508 | Val ctr_mse=0.037593 | Val conf=0.443
[Epoch 0144] beta=0.001 gamma=0.001 | Train total=-0.0002 | Val total=-0.0002 | Val ctr_nll=-3.9852 | Val ctr_mse=0.041665 | Val conf=0.491
[Epoch 0145] beta=0.001 gamma=0.001 | Train total=0.0009 | Val total=-0.0006 | Val ctr_nll=-3.8355 | Val ctr_mse=0.042886 | Val conf=0.420
[Epoch 0146] beta=0.001 gamma=0.001 | Train total=0.0005 | Val total=-0.0020 | Val ctr_nll=-5.0215 | Val ctr_mse=0.038988 | Val conf=0.429
[Epoch 0147] beta=0.001 gamma=0.001 | Train total=0.0005 | Val total=-0.0013 | Val ctr_nll=-4.6610 | Val ctr_mse=0.040384 | Val conf=0.474
[Epoch 0148] beta=0.001 gamma=0.001 | Train total=0.0004 | Val total=-0.0014 | Val ctr_nll=-4.9305 | Val ctr_mse=0.039598 | Val conf=0.504
[Epoch 0149] beta=0.001 gamma=0.001 | Train total=-0.0004 | Val total=-0.0019 | Val ctr_nll=-5.2914 | Val ctr_mse=0.039533 | Val conf=0.462
[Epoch 0150] beta=0.001 gamma=0.001 | Train total=-0.0001 | Val total=0.0001 | Val ctr_nll=-3.0757 | Val ctr_mse=0.044815 | Val conf=0.424
